"BehaviorSpace results (NetLogo 6.2.2)"
"BestResponseToContexts.nlogo"
"experiment_Memory"
"01/16/2025 20:20:58:160 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","Base-MSNE","Number-Of-C-Beliefs","Memory","Inertia","Epsilon","Number-Of-People","Initial-C-Belief-Positions","Initial-Person-Attributes","Perc-Right-Hand-Side","Clustering-Weight","Statistics-Retention","Run-Length","MSNE-Margin","HD-Value","MFI-Network-Radius","Ticks-Between-Network-Updates","Ticks-Between-Plot-Updates","Ticks-Until-Shock","Shock-Repeats?","Shock-Code","Seed-Setup","Seed-Go","[step]","previous-seed-setup","previous-seed-go","timer","hd-cost-of-conflict","msne-exp-payoff","noise-payoff","item 0 payoffs","item 1 payoffs","item 2 payoffs","item 3 payoffs","count people","count C-Beliefs","perc-played-hawk","perc-played-dove","perc-interaction-type 0","perc-interaction-type 1","perc-interaction-type 2","perc-interaction-type 3","mean-payoff-by-mfi 0","mean-payoff-by-mfi 1","mean-payoff-by-mfi 2","mean-payoff-by-mfi 3","perc-events-dd","perc-events-hh","perc-events-dhhd","perc-always-hawk","perc-play-mixture","perc-always-dove","perc-best-response-dove","perc-best-response-msne","perc-best-response-hawk","perc-beliefs-between 0 20","perc-beliefs-between 20 40","perc-beliefs-between 40 60","perc-beliefs-between 60 80","perc-beliefs-between 80 101","num-mfi-components-larger-than 0","num-mfi-components-larger-than 1","num-mfi-components-larger-than 5","first first mfi-component-sizes","last first mfi-component-sizes","perc-self-hawkish-mfi-type 0","perc-self-hawkish-mfi-type 1","perc-self-hawkish-mfi-type 2","perc-self-hawkish-mfi-type 3","mean-icb-distance-by-mfi 0","mean-icb-distance-by-mfi 1","mean-icb-distance-by-mfi 2","mean-icb-distance-by-mfi 3"
"22","90","4","0","90","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","943053469","846712605","29.605","11.11111111111111","0.5","3.611111111111111","5","0","10","-0.5555555555555554","200","800","46","54","19","27","32.5","21.5","3.5928071458513475","2.615402051245829","4.894317016028938","2.923159903819861","25.233986980122808","25.05736222058154","49.70865079929567","8.5","84.5","7","48.625","0","51.375","51.375","0","0","0","48.625","53","32","10","21","1","73.68421052631578","50","60","16.27906976744186","43.655698988100276","43.22624898590879","43.31822463609745","42.81529045023667"
"23","90","4","5","90","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","1899575649","-89299382","28.004","11.11111111111111","0.5","3.611111111111111","5","0","10","-0.5555555555555554","200","800","49","51","18","29","31","22","3.482189438179836","2.577070071849903","4.974610044100509","3.2262010430973347","24.792652551370892","24.73132026849457","50.47602718013455","6","85.5","8.5","48.625","0","51.375","51.375","0","0","0","48.625","51","34","12","24","1","69.44444444444444","37.93103448275862","61.29032258064516","34.090909090909086","41.63280916203769","43.482637030459244","43.26897827025559","42.87497700120411"
"21","90","4","100","90","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","1455782322","1949633654","30.486","11.11111111111111","0.5","3.611111111111111","5","0","10","-0.5555555555555554","200","800","86","14","0","0","0","100","3.611111111111111","3.611111111111111","3.611111111111111","0.5182938755525643","1.1243668083417735","80.67071024005388","18.20492295160438","0","100","0","0","100","0","0","0","0","0","100","1","1","1","200","3","90","90","90","88.5","0","0","0","5.038626013181914"
"25","90","4","15","90","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","1819403376","-455219229","39.641","11.11111111111111","0.5","3.611111111111111","5","0","10","-0.5555555555555554","200","800","57","43","0","22.5","18.5","59","3.611111111111111","1.9822164192831284","4.8470046701684115","2.7672205679642374","14.078452230710814","36.44361551846236","49.47793225082685","17","81.5","1.5","37.25","24.375","38.375","38.375","0","0","0","61.625","26","17","4","118","3","90","55.55555555555556","70.27027027027027","64.40677966101694","0","42.8142183704675","40.702774531498434","38.542836202959"
"27","90","4","25","90","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","929251526","775394732","39.341","11.11111111111111","0.5","3.611111111111111","5","0","10","-0.5555555555555554","200","800","66","34","0.5","16.5","6.5","76.5","3.153599810221863","2.05395703849076","4.698816291823333","2.7185836089497024","14.97414059330359","40.68341225609179","44.342447150604656","13.5","82","4.5","31.25","8.125","60.625","16.5","17.875","0","11.625","54","30","14","1","152","3","100","60.60606060606061","92.3076923076923","62.745098039215684","46.21979638181768","41.401947761175194","41.587751359652124","38.38536255846541"
"26","90","4","20","90","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","-1802729668","-2025680139","38.201","11.11111111111111","0.5","3.611111111111111","5","0","10","-0.5555555555555554","200","800","64","36","0.5","22","20","57.5","3.5716561787474457","1.8926242172665781","4.632685295032986","2.737933346882873","12.967939359009247","37.16848184118063","49.863578799810156","11.5","86","2.5","41","0","59","36.375","0","0","0","63.625","24","15","5","112","3","100","47.72727272727273","77.5","50.43478260869565","42.69276956957061","39.87868778579008","39.462026935684335","38.470246241596314"
"24","90","4","10","90","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","-1123122988","526761857","11077.598","11.11111111111111","0.5","3.611111111111111","5","0","10","-0.5555555555555554","200","800","51.5","48.5","17","29","32.5","21.5","3.565345403803605","2.605054242479279","4.925718983514738","3.1597191715456665","24.493384800410478","24.44809067117621","51.05852452841333","6","86.5","7.5","27","23.375","49.625","49.625","0","0","0","50.375","56","28","6","39","2","76.47058823529412","29.310344827586203","58.46153846153847","30.23255813953488","43.21589633194218","42.82655394517328","43.37349802925195","43.089418785945156"
"28","90","4","30","90","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","1270438169","2074299391","38.186","11.11111111111111","0.5","3.611111111111111","5","0","10","-0.5555555555555554","200","800","57.5","42.5","0.5","20.5","20","59","4.249635002942165","1.9415684445947852","4.5188860995289275","2.674884094655037","14.618637399640852","37.77788624563986","47.603476354719284","11.5","88","0.5","22","16","62","15.5","22.875","0","23.625","38","29","18","4","117","3","100","51.21951219512195","75","59.32203389830508","42.2984287019165","38.256546301511825","41.407378888948266","38.234508947781066"
"29","90","4","35","90","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","-1340670126","-945939819","38.16","11.11111111111111","0.5","3.611111111111111","5","0","10","-0.5555555555555554","200","800","64.5","35.5","0.5","21","12","66.5","1.8979302619224014","1.8862273307541135","4.6902314398550375","2.669497137497691","12.681311244154085","40.614466320242244","46.704222435603704","12.5","86","1.5","26.75","14.625","58.625","12.25","22.625","0","23.75","41.375","32","16","3","127","3","100","52.38095238095239","83.33333333333334","68.42105263157895","39.932194701974616","37.266862009609305","40.36599936365476","35.952756170803134"
"31","90","4","45","90","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","1118713608","-676260168","40.192","11.11111111111111","0.5","3.611111111111111","5","0","10","-0.5555555555555554","200","800","68.5","31.5","0","16","8.5","75.5","3.611111111111111","1.7135511231647722","4.84228372851171","2.3729772197047887","9.827305088472468","45.40751824487447","44.765176666653076","19.5","79.5","1","21.25","21.875","56.875","8.375","12.5","13.25","17.625","48.25","23","14","2","151","3","90","50","70.58823529411765","70.19867549668875","0","34.56985267156756","34.600514352269116","29.03434375185792"
"30","90","4","40","90","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","-658804965","-505414199","38.392","11.11111111111111","0.5","3.611111111111111","5","0","10","-0.5555555555555554","200","800","62.5","37.5","0.5","22","10","67.5","3.4350394109026947","1.6669782744705612","4.769260808942082","2.644741195838794","10.750031639968311","42.371337500578285","46.878630859453466","19.5","80","0.5","25.25","17.375","57.375","11.875","23.25","0","21.125","43.75","29","13","5","131","3","100","52.27272727272727","90","70.37037037037037","38.60062290953594","37.94260570885238","40.784511133139354","34.61489322970302"
"32","90","4","50","90","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","-942548643","-28067957","43.256","11.11111111111111","0.5","3.611111111111111","5","0","10","-0.5555555555555554","200","800","71.5","28.5","0","15.5","9","75.5","3.611111111111111","1.5970727991383968","4.617532071680078","2.3073195562680784","8.540872571363801","46.707292164598975","44.75183526403725","23.5","75","1.5","21.25","21","57.75","6","11.125","15","19.5","48.375","19","13","2","151","3","90","54.83870967741935","94.44444444444444","68.87417218543047","0","34.95402134025054","29.94551085052769","29.54319331582137"
"33","90","4","55","90","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","-650978215","4248976","41.855","11.11111111111111","0.5","3.611111111111111","5","0","10","-0.5555555555555554","200","800","76","24","0","12","2.5","85.5","3.611111111111111","1.4080580836976455","4.2567673541429585","2.2012938883097584","8.911527746584724","51.1651362887616","39.92333596465369","24.5","73.5","2","16.375","23","60.625","2.125","9.625","17.5","22.625","48.125","20","6","1","171","3","90","62.5","80","74.26900584795322","0","33.22952713994644","29.657350896005656","26.406439147061025"
"34","90","4","60","90","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","-134528225","626632879","40.301","11.11111111111111","0.5","3.611111111111111","5","0","10","-0.5555555555555554","200","800","68","32","0","43","28.5","28.5","3.611111111111111","1.4893122840999795","5.410004472968372","3.1883784485975712","3.2318722606264796","34.3630185334329","62.40510920594065","34","62","4","25.5","9.375","65.125","10.375","12.125","20.875","17.5","39.125","13","7","4","85","1","90","60.46511627906976","89.47368421052632","80.7017543859649","0","46.50719316147711","20.714894486330373","23.915345301710687"
